sample: 169, mc_sample: 1, mean reward: -44.333, std reward: 0.0, kl: 47740.0
sample: 170, mc_sample: 1, mean reward: -42.864, std reward: 0.0, kl: 47740.0
sample: 171, mc_sample: 1, mean reward: -36.73, std reward: 0.0, kl: 47740.0
sample: 172, mc_sample: 1, mean reward: -17.309, std reward: 0.0, kl: 47740.0
sample: 173, mc_sample: 1, mean reward: -25.076, std reward: 0.0, kl: 47740.0
sample: 174, mc_sample: 1, mean reward: -14.963, std reward: 0.0, kl: 47740.0
sample: 175, mc_sample: 1, mean reward: -70.389, std reward: 0.0, kl: 47740.0
sample: 176, mc_sample: 1, mean reward: -19.388, std reward: 0.0, kl: 47740.0
sample: 177, mc_sample: 1, mean reward: -85.487, std reward: 0.0, kl: 47740.0
sample: 178, mc_sample: 1, mean reward: -41.75, std reward: 0.0, kl: 47740.0
sample: 179, mc_sample: 1, mean reward: -10.303, std reward: 0.0, kl: 47740.0
sample: 180, mc_sample: 1, mean reward: -60.388, std reward: 0.0, kl: 47740.0
sample: 181, mc_sample: 1, mean reward: -40.336, std reward: 0.0, kl: 47740.0
sample: 182, mc_sample: 1, mean reward: -40.915, std reward: 0.0, kl: 47740.0
sample: 183, mc_sample: 1, mean reward: -42.897, std reward: 0.0, kl: 47740.0
sample: 184, mc_sample: 1, mean reward: -93.969, std reward: 0.0, kl: 47740.0
sample: 185, mc_sample: 1, mean reward: -64.289, std reward: 0.0, kl: 47740.0
sample: 186, mc_sample: 1, mean reward: -10.879, std reward: 0.0, kl: 47740.0
sample: 187, mc_sample: 1, mean reward: -36.529, std reward: 0.0, kl: 47740.0
sample: 188, mc_sample: 1, mean reward: -16.53, std reward: 0.0, kl: 47740.0
sample: 189, mc_sample: 1, mean reward: -43.577, std reward: 0.0, kl: 47740.0
sample: 190, mc_sample: 1, mean reward: -46.156, std reward: 0.0, kl: 47740.0
sample: 191, mc_sample: 1, mean reward: -12.483, std reward: 0.0, kl: 47740.0
sample: 192, mc_sample: 1, mean reward: -72.678, std reward: 0.0, kl: 47740.0
sample: 193, mc_sample: 1, mean reward: -42.877, std reward: 0.0, kl: 47740.0
sample: 194, mc_sample: 1, mean reward: -36.718, std reward: 0.0, kl: 47740.0
sample: 195, mc_sample: 1, mean reward: -15.098, std reward: 0.0, kl: 47740.0
sample: 196, mc_sample: 1, mean reward: -51.861, std reward: 0.0, kl: 47739.99609375
sample: 197, mc_sample: 1, mean reward: -13.262, std reward: 0.0, kl: 47739.99609375
sample: 198, mc_sample: 1, mean reward: -70.626, std reward: 0.0, kl: 47739.99609375
sample: 199, mc_sample: 1, mean reward: -18.571, std reward: 0.0, kl: 47739.99609375
sample: 200, mc_sample: 1, mean reward: -59.547, std reward: 0.0, kl: 47739.99609375
sample: 201, mc_sample: 1, mean reward: -85.298, std reward: 0.0, kl: 47740.0
sample: 202, mc_sample: 1, mean reward: -37.237, std reward: 0.0, kl: 47740.0
sample: 203, mc_sample: 1, mean reward: -55.066, std reward: 0.0, kl: 47740.0
sample: 204, mc_sample: 1, mean reward: -40.143, std reward: 0.0, kl: 47740.0
sample: 205, mc_sample: 1, mean reward: -39.528, std reward: 0.0, kl: 47740.0
sample: 206, mc_sample: 1, mean reward: -16.48, std reward: 0.0, kl: 47740.0
sample: 207, mc_sample: 1, mean reward: -58.407, std reward: 0.0, kl: 47740.0
sample: 208, mc_sample: 1, mean reward: -57.551, std reward: 0.0, kl: 47740.0
sample: 209, mc_sample: 1, mean reward: -16.338, std reward: 0.0, kl: 47740.0
sample: 210, mc_sample: 1, mean reward: -19.722, std reward: 0.0, kl: 47740.0
sample: 211, mc_sample: 1, mean reward: -19.212, std reward: 0.0, kl: 47740.0
sample: 212, mc_sample: 1, mean reward: -115.414, std reward: 0.0, kl: 47740.0
sample: 213, mc_sample: 1, mean reward: -80.695, std reward: 0.0, kl: 47740.0
sample: 214, mc_sample: 1, mean reward: -15.759, std reward: 0.0, kl: 47740.0
sample: 215, mc_sample: 1, mean reward: -37.453, std reward: 0.0, kl: 47740.0
sample: 216, mc_sample: 1, mean reward: -24.191, std reward: 0.0, kl: 47739.99609375
sample: 217, mc_sample: 1, mean reward: -12.577, std reward: 0.0, kl: 47739.99609375
sample: 218, mc_sample: 1, mean reward: -57.885, std reward: 0.0, kl: 47739.99609375
sample: 219, mc_sample: 1, mean reward: -10.196, std reward: 0.0, kl: 47739.99609375
sample: 220, mc_sample: 1, mean reward: -19.335, std reward: 0.0, kl: 47739.99609375
sample: 221, mc_sample: 1, mean reward: -36.708, std reward: 0.0, kl: 47740.0
sample: 222, mc_sample: 1, mean reward: -37.589, std reward: 0.0, kl: 47740.0
sample: 223, mc_sample: 1, mean reward: -18.913, std reward: 0.0, kl: 47740.0
sample: 224, mc_sample: 1, mean reward: -21.967, std reward: 0.0, kl: 47740.0
sample: 225, mc_sample: 1, mean reward: -17.608, std reward: 0.0, kl: 47740.0
sample: 226, mc_sample: 1, mean reward: -32.879, std reward: 0.0, kl: 47740.0
sample: 227, mc_sample: 1, mean reward: -14.27, std reward: 0.0, kl: 47740.0
sample: 228, mc_sample: 1, mean reward: -10.012, std reward: 0.0, kl: 47740.0
sample: 229, mc_sample: 1, mean reward: -32.564, std reward: 0.0, kl: 47740.0
sample: 230, mc_sample: 1, mean reward: -20.967, std reward: 0.0, kl: 47740.0
sample: 231, mc_sample: 1, mean reward: -12.276, std reward: 0.0, kl: 47740.0
