sample: 249, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.6875
sample: 250, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 251, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9765625
sample: 252, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9765625
sample: 253, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9765625
sample: 254, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 255, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9765625
sample: 256, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 257, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 258, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 259, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 260, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 261, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 262, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 263, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 264, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 265, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 266, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 267, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 268, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9765625
sample: 269, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9765625
sample: 270, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.9765625
sample: 271, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9765625
sample: 272, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9765625
sample: 273, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 274, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 275, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9765625
sample: 276, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 277, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 278, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 279, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 280, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 281, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 282, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 283, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 284, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.1875
sample: 285, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 286, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 287, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80254.1875
sample: 288, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 289, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 290, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 291, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 292, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 293, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 294, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.1875
sample: 295, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 296, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 297, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 298, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80254.1875
sample: 299, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.1875
sample: 300, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.1875
sample: 301, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.328125
sample: 302, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80254.328125
sample: 303, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.328125
sample: 304, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.328125
sample: 305, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.328125
sample: 306, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.328125
sample: 307, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.328125
